Timestamp,Source,Destination,Protocol,Length,Info
1773247282.395451,104.18.124.108,10.126.34.89,6,70,Normal Traffic
1773247283.068459,10.126.34.89,13.107.137.11,6,66,Normal Traffic
1773247283.115271,13.107.137.11,10.126.34.89,6,70,Normal Traffic
1773247283.115445,10.126.34.89,13.107.137.11,6,54,Normal Traffic
1773247283.120874,10.126.34.89,13.107.137.11,6,982,Normal Traffic
1773247283.167276,13.107.137.11,10.126.34.89,6,58,Normal Traffic
1773247283.173464,13.107.137.11,10.126.34.89,6,1333,Normal Traffic
1773247283.173464,13.107.137.11,10.126.34.89,6,1333,Normal Traffic
1773247283.173464,13.107.137.11,10.126.34.89,6,1333,Normal Traffic
1773247283.173464,13.107.137.11,10.126.34.89,6,1333,Normal Traffic
1773247283.173464,13.107.137.11,10.126.34.89,6,1333,Normal Traffic
1773247283.173464,13.107.137.11,10.126.34.89,6,1333,Normal Traffic
1773247283.173464,13.107.137.11,10.126.34.89,6,655,Normal Traffic
1773247283.173613,10.126.34.89,13.107.137.11,6,54,Normal Traffic
1773247283.198597,10.126.34.89,13.107.137.11,6,134,Normal Traffic
1773247283.201064,10.126.34.89,13.107.137.11,6,2703,ALERT: Large Packet Detected
1773247283.201543,10.126.34.89,13.107.137.11,6,1207,Normal Traffic
1773247283.237119,13.107.137.11,10.126.34.89,6,58,Normal Traffic
1773247283.237119,13.107.137.11,10.126.34.89,6,517,Normal Traffic
1773247283.241824,13.107.137.11,10.126.34.89,6,58,Normal Traffic
1773247283.241824,13.107.137.11,10.126.34.89,6,58,Normal Traffic
1773247283.241824,13.107.137.11,10.126.34.89,6,58,Normal Traffic
1773247283.241824,13.107.137.11,10.126.34.89,6,58,Normal Traffic
1773247283.285256,10.126.34.89,13.107.137.11,6,54,Normal Traffic
1773247283.542157,10.126.34.89,44.192.143.230,6,90,Normal Traffic
1773247284.026615,44.192.143.230,10.126.34.89,6,54,Normal Traffic
1773247284.030784,13.107.137.11,10.126.34.89,6,1333,Normal Traffic
1773247284.030784,13.107.137.11,10.126.34.89,6,1333,Normal Traffic
1773247284.030784,13.107.137.11,10.126.34.89,6,442,Normal Traffic
1773248126.218764,10.126.34.89,8.8.8.8,ALERT,KILL SWITCH,Blacklisted IP Access
